contractingofficeagencyid,dollarsobligated,fiscal_year,mod_parent,piid,productorservicecode,vendorname
"VETERANS AFFAIRS, DEPARTMENT OF",285980,2016,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",VA24614C0231,Q522: MEDICAL- RADIOLOGY,"DUKE UNIVERSITY HEALTH SYSTEM, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",-26400,2016,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",VA24616P4976,AN56: R&D- MEDICAL: MENTAL HEALTH (MANAGEMENT/SUPPORT),"DUKE UNIVERSITY HEALTH SYSTEM, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A14J0424,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",276116,2016,THE MITRE CORPORATION,VA118A15J0113,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",1335,2016,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",VA24513P1699,R420: SUPPORT- PROFESSIONAL: CERTIFICATIONS AND ACCREDITATIONS (OTHER THAN EDUC OR INFO TECH C&A),"DUKE UNIVERSITY HEALTH SYSTEM, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A15J0048,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",-674369.46,2016,THE MITRE CORPORATION,VA798A100412,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",-1108127.72,2016,THE MITRE CORPORATION,V0010A101J07001,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",95904,2016,DUKE UNIVERSITY,VA24615P8438,R699: SUPPORT- ADMINISTRATIVE: OTHER,DUKE UNIVERSITY
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A14F0373,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",57408,2016,DUKE UNIVERSITY,VA24614P7671,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,DUKE UNIVERSITY
"VETERANS AFFAIRS, DEPARTMENT OF",105248,2016,DUKE UNIVERSITY,VA24615C0070,Q403: MEDICAL- EVALUATION/SCREENING,DUKE UNIVERSITY
"VETERANS AFFAIRS, DEPARTMENT OF",375094.44,2016,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",VA24614C0207,U008: EDUCATION/TRAINING- TRAINING/CURRICULUM DEVELOPMENT,"DUKE UNIVERSITY HEALTH SYSTEM, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",5015654,2016,"DUKE UNIVERSITY HEALTH SYSTEM, INC.",VA24615C0093,Q522: MEDICAL- RADIOLOGY,"DUKE UNIVERSITY HEALTH SYSTEM, INC."
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A14J0194,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A14J0428,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",984804,2016,THE MITRE CORPORATION,VA118A15J0036,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",79200,2016,UNIVERSITY OF TEXAS AT AUSTIN,VA101F16P0024,U005: EDUCATION/TRAINING- TUITION/REGISTRATION/MEMBERSHIP FEES,UNIVERSITY OF TEXAS AT AUSTIN
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A14J0430,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,THE MITRE CORPORATION,VA118A13J0014,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
"VETERANS AFFAIRS, DEPARTMENT OF",0,2016,WORCESTER POLYTECHNIC INSTITUTE,VA77716G0020,R425: SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,WORCESTER POLYTECHNIC INSTITUTE
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0012,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0045,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0046,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,908296,2016,THE MITRE CORPORATION,HHSM500T0036,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,18046252,2016,THE MITRE CORPORATION,HHSM500T0051,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0044,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0029,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0047,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0004,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,7986398,2016,THE MITRE CORPORATION,HHSM500T0040,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,1023220,2016,THE MITRE CORPORATION,HHSM500T0002,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,298346,2016,THE MITRE CORPORATION,HHSM500T0049,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
CENTERS FOR MEDICARE AND MEDICAID SERVICES,0,2016,THE MITRE CORPORATION,HHSM500T0048,AN41: R&D- MEDICAL: HEALTH SERVICES (BASIC RESEARCH),THE MITRE CORPORATION
FEDERAL ACQUISITION SERVICE,0,2016,THE MITRE CORPORATION,GSF1014LP0002,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
FEDERAL ACQUISITION SERVICE,0,2016,CNA CORPORATION,GS23F8096H,R799: SUPPORT- MANAGEMENT: OTHER,CNA CORPORATION
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,250000,2016,DUKE UNIVERSITY,HHSA29032007T,AN42: R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA29032003T,AN42: R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA290200710066I,R799: SUPPORT- MANAGEMENT: OTHER,DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,710000,2016,DUKE UNIVERSITY,HHSA29032004T,AN42: R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA2900003,R799: SUPPORT- MANAGEMENT: OTHER,DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA2900002,R799: SUPPORT- MANAGEMENT: OTHER,DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA29032002T,AN42: R&D- MEDICAL: HEALTH SERVICES (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,-89135.94,2016,DUKE UNIVERSITY,HHSA2900001,R799: SUPPORT- MANAGEMENT: OTHER,DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA2900004,R799: SUPPORT- MANAGEMENT: OTHER,DUKE UNIVERSITY
AGENCY FOR HEALTHCARE RESEARCH AND QUALITY,0,2016,DUKE UNIVERSITY,HHSA29032001T,R799: SUPPORT- MANAGEMENT: OTHER,DUKE UNIVERSITY
BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,0,2016,WORCESTER POLYTECHNIC INSTITUTE,INE14PC00043,AG61: R&D- ENERGY: PETROLEUM (BASIC RESEARCH),WORCESTER POLYTECHNIC INSTITUTE
BUREAU OF THE FISCAL SERVICE,-27176.31,2016,MOBIL OIL GUAM INC,0426,R799: SUPPORT- MANAGEMENT: OTHER,MOBIL OIL GUAM INC
BUREAU OF THE FISCAL SERVICE,-27176.31,2016,THE MITRE CORPORATION,0426,R799: SUPPORT- MANAGEMENT: OTHER,THE MITRE CORPORATION
